player_name,Size,Explosiveness,Strength,career_length,overall_pick,age_at_draft,organization_type,position,greatest_75
Tyreke Evans,0.18211168490742552,-0.4368115589816273,-0.27410097300941744,10.0,4,20.0,College/University,PG-SG,N
Jonny Flynn,-3.5560749058875443,0.16932959732116476,0.585252298932818,3.0,6,20.0,College/University,PG,N
Taj Gibson,2.599223024317155,-0.9589429522483304,-0.27431337857448584,15.0,26,24.0,College/University,PF,N
Danny Green,-0.03164363323980811,-0.15898247540882035,0.3751797021305257,15.0,46,22.0,College/University,SG-SF,N
Blake Griffin,0.7988956413557156,2.2726269526499996,1.5522781510842567,15.0,1,20.0,College/University,PF,N
Tyler Hansbrough,1.2682904260504606,0.6755574932692697,1.3526121015000887,9.0,13,24.0,College/University,PF,N
James Harden,-0.553259004885537,1.557872067523264,1.5665402752806248,15.0,3,20.0,College/University,SG,Y
Gerald Henderson,-1.162462498980752,0.33570640551663183,-0.7747048349233557,8.0,12,22.0,College/University,SG-SF,N
Jordan Hill,1.7028051292304989,0.9668088549654236,-1.0785305328459809,8.0,8,22.0,College/University,PF-C,N
Jrue Holiday,-1.5640349784671714,-1.209024011227132,0.18567590004709297,15.0,17,19.0,College/University,PG-SG,N
James Johnson,1.4539024692663822,1.7343186952623997,2.1439965235291507,15.0,16,22.0,College/University,SF-PF,N
Ty Lawson,-3.379114029848692,-0.7253548860083121,1.8214094868187398,9.0,18,22.0,College/University,PG,N
Eric Maynor,-2.7192642832173672,-2.1917735612037372,0.5168677740716224,5.0,20,22.0,College/University,PG,N
Jodie Meeks,-1.9977611451904653,0.014395220251017951,1.6549078694734132,10.0,41,22.0,College/University,SG,N
Byron Mullens,3.0502217046488913,0.3293898711606109,0.07350324521631232,5.0,24,20.0,College/University,C,N
A.J. Price,-1.2331614053727038,-2.2826613871751187,2.992458725627141,6.0,52,23.0,College/University,PG,N
DaJuan Summers,0.6606514675614291,1.2555396226583788,0.4711754298937657,4.0,35,21.0,College/University,SF,N
Jermaine Taylor,-1.1975351122851137,1.2129015655910904,0.15031480676708708,2.0,32,23.0,College/University,SG,N
Jeff Teague,-2.7488995179480207,-0.27703285390166804,0.12462301171666755,12.0,19,21.0,College/University,PG,N
Hasheem Thabeet,3.0850399985319763,1.8425327632689885,-1.0667728341035805,5.0,2,22.0,College/University,C,N
Marcus Thornton,-1.970221832576912,-0.5098594169319886,0.7275557642100547,8.0,43,22.0,College/University,SG,N
Terrence Williams,-1.0412370468622414,0.38633615069004,-0.5395538353788406,4.0,11,22.0,College/University,SG-SF,N
Sam Young,0.9447718435806862,-0.9476294856656984,-0.3770338149674701,4.0,36,24.0,College/University,SF-SG,N
Solomon Alabi,5.7815511575354295,-2.322436668736324,-1.3802093895872345,2.0,50,22.0,College/University,C,N
Cole Aldrich,3.635470257304202,-1.3706196166263316,0.2782360212713295,8.0,11,22.0,College/University,C,N
James Anderson,-0.23622081817566512,0.3570451702814386,0.5500031844875649,6.0,20,21.0,College/University,SF,N
Luke Babbitt,0.2139458257687512,0.7066860597065607,0.004072297780003772,8.0,16,21.0,College/University,SF-PF,N
Eric Bledsoe,-1.9646733715909848,-1.0416462776126196,0.18542320418172067,12.0,18,21.0,College/University,PG,N
Trevor Booker,-0.0868350691407363,2.1719933958866124,1.4153047916156427,8.0,23,23.0,College/University,PF,N
Craig Brackins,1.9692119870130484,-0.8129782357158362,-0.5080268891011713,2.0,21,23.0,College/University,PF-SF,N
Avery Bradley,-2.6935738734552697,-0.747657791457595,-1.529976803316593,12.0,19,20.0,College/University,SG-PG,N
Derrick Caracter,4.899576239382088,-0.1570509975288568,2.825920826686971,1.0,58,22.0,College/University,PF,N
DeMarcus Cousins,5.924184564107032,-1.009778869104025,2.5607339501585904,12.0,5,20.0,College/University,C,N
Jordan Crawford,-1.385238395476683,-0.8197083856775591,-0.47206101912394943,8.0,27,22.0,College/University,SG,N
Devin Ebanks,2.0322781724750087,-2.1866578037618387,-0.23568900135554358,3.0,43,21.0,College/University,SF,N
Derrick Favors,1.8252296652729232,1.8948784086893167,-0.633989447941088,12.0,3,19.0,College/University,PF,N
Luke Harangody,2.7696111690785075,-0.8439765009332703,3.1365536041970468,2.0,52,22.0,College/University,PF,N
Lazar Hayward,-0.1834651474624579,0.9479881475363722,0.7564773952556967,3.0,30,24.0,College/University,SG-SF,N
Gordon Hayward,-0.18474001881184093,-0.011703244864997566,-0.07612972440584244,14.0,9,20.0,College/University,SF,N
Xavier Henry,-0.566085780467103,0.0036323402240220713,-0.840989332414114,5.0,12,19.0,College/University,SG,N
Darington Hobson,-0.04297980840153063,-0.46615443476095525,-0.2570367574811372,1.0,37,23.0,College/University,SG-SF,N
Damion James,0.8374192140601635,0.4545682473096486,1.0415446983994259,4.0,24,23.0,College/University,SF,N
Wesley Johnson,-0.45146429365569907,1.7233998960114882,-0.640331027839642,9.0,4,23.0,College/University,SF,N
Armon Johnson,-2.1063205086715313,1.001348240079631,0.6828001538838505,2.0,34,21.0,College/University,PG-SG,N
Dominique Jones,-0.21961763015791325,-0.5810866339298675,1.6142050583591563,3.0,25,22.0,College/University,SG,N
Gani Lawal,1.639271696291484,0.503950023527388,0.9310054403281766,1.0,46,22.0,College/University,PF,N
Greg Monroe,3.7687593503541157,-0.5272672795425993,1.4538355636766336,12.0,7,20.0,College/University,PF-C,N
Daniel Orton,4.7281497016599525,-0.4322140256904491,1.8070105662363167,4.0,29,20.0,College/University,C,N
Patrick Patterson,1.1802237633599602,0.9790302633442561,0.26530453384214975,11.0,14,21.0,College/University,PF,N
